line	url
R10A01	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/R10A01/R10A01_AE_01_08-fA01b_C080315_20080318234624062_ch2_total.jpg
R10A02	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20090224/GMR_10A02_AE_01_02-fA01b_C090224_20090224111706046/R10A02_AE_01_02-fA01b_C090224_20090224111706046_ch2_total.jpg
R10A03	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20090224/GMR_10A03_AE_01_00-fA01b_C090224_20090224111827984/R10A03_AE_01_00-fA01b_C090224_20090224111827984_ch2_total.jpg
R10A04	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20090224/GMR_10A04_AE_01_01-fA01b_C090224_20090224112518312/R10A04_AE_01_01-fA01b_C090224_20090224112518312_ch2_total.jpg
R10A05	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20090224/GMR_10A05_AE_01_02-fA01b_C090224_20090224113042078/R10A05_AE_01_02-fA01b_C090224_20090224113042078_ch2_total.jpg
R10A06	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20100709/GMR_10A06_AE_01_08-fA01b_C100709_20100709225242046/R10A06_AE_01_08-fA01b_C100709_20100709225242046_ch2_total.jpg
R10A07	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20100723/GMR_10A07_AE_01_09-fA01b_C100723_20100723110413656/R10A07_AE_01_09-fA01b_C100723_20100723110413656_ch2_total.jpg
R10A08	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20090919/GMR_10A08_AE_01_06-fA01b_C090919_20090919090001058/R10A08_AE_01_06-fA01b_C090919_20090919090001058_ch2_total.jpg
R10A09	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20110114/GMR_10A09_AE_01_14-fA01b_C110114_20110117123119062/R10A09_AE_01_14-fA01b_C110114_20110117123119062_ch2_total.jpg
R10A10	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20090224/GMR_10A10_AE_01_00-fA01b_C090224_20090224113907718/R10A10_AE_01_00-fA01b_C090224_20090224113907718_ch2_total.jpg
R10A11	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20090919/GMR_10A11_AE_01_08-fA01b_C090919_20090919090341339/R10A11_AE_01_08-fA01b_C090919_20090919090341339_ch2_total.jpg
R10A12	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20090919/GMR_10A12_AE_01_09-fA01b_C090919_20090919090446183/R10A12_AE_01_09-fA01b_C090919_20090919090446183_ch2_total.jpg
R10B01	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20091130/GMR_10B01_AE_01_05-fA01b_C091130_20091201140014654/R10B01_AE_01_05-fA01b_C091130_20091201140014654_ch2_total.jpg
R10B02	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20091130/GMR_10B02_AE_01_04-fA01b_C091130_20091201140211091/R10B02_AE_01_04-fA01b_C091130_20091201140211091_ch2_total.jpg
